,Compound,Date,Negative,Neutral,Positive,User,text
0,0.4559,Fri Jan 05 01:50:56 +0000 2018,0.813,0.0,0.187,@TheEllenShow,RT @bcooper34: Kids said they wanted to play in the snow!! @TheEllenShow @ellentube https://t.co/tDGMG9N3y4
1,0.0,Fri Jan 05 00:00:03 +0000 2018,1.0,0.0,0.0,@TheEllenShow,#TheBachelor is back! And so is my recap! https://t.co/ysuY8v12bn
2,-0.296,Thu Jan 04 23:18:39 +0000 2018,0.885,0.115,0.0,@TheEllenShow,"If you’re ever in the St. Louis area, you’ve gotta stop by and see Mike at Walgreens. https://t.co/DFBpTsBaCx"
3,0.0,Thu Jan 04 21:05:54 +0000 2018,1.0,0.0,0.0,@TheEllenShow,@TheKalenAllen ??
4,0.7783,Thu Jan 04 21:00:52 +0000 2018,0.672,0.0,0.328,@TheEllenShow,One of these players has a chance to win $100K. Both of these players have a chance of getting wet. https://t.co/4CqsMZC3Ap
5,0.0,Thu Jan 04 20:18:23 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"Here’s @KhloeKardashian and @KrisJenner each describing the word ""daddy."" https://t.co/tQNROWfnOG"
6,0.8016,Thu Jan 04 19:29:23 +0000 2018,0.703,0.0,0.297,@TheEllenShow,"Happy birthday, @TheKalenAllen! If you haven’t seen my friend Kalen’s videos yet, I don’t know what you’re still wa… https://t.co/6nEdzH6NaS"
7,0.0,Thu Jan 04 18:27:34 +0000 2018,1.0,0.0,0.0,@TheEllenShow,.@KhloeKardashian told me all about her baby and her baby daddy. https://t.co/Hu8QhHv46V
8,0.6705,Thu Jan 04 17:26:11 +0000 2018,0.593,0.0,0.407,@TheEllenShow,I’m pretty sure I got @KhloeKardashian to confirm @KylieJenner’s pregnancy. https://t.co/AtO42fEqRc
9,0.0,Thu Jan 04 02:59:57 +0000 2018,1.0,0.0,0.0,@TheEllenShow,@jessetyler ??
10,-0.5267,Thu Jan 04 01:47:12 +0000 2018,0.841,0.159,0.0,@TheEllenShow,I woke up to discover I was part of a government conspiracy called #DeepState. Here’s what I have to say about it. https://t.co/YbyrUgxA4T
11,0.0,Wed Jan 03 22:50:54 +0000 2018,1.0,0.0,0.0,@TheEllenShow,Cat’s out of the bag! https://t.co/pEVOqgxfjs
12,0.0,Wed Jan 03 22:11:29 +0000 2018,1.0,0.0,0.0,@TheEllenShow,RT @Jeopardy: About to go down a rabbit hole on Ellentube. See you all in 8 hours. @TheEllenShow #YoureOnJ! https://t.co/AYY4qbzEoQ
13,0.4926,Wed Jan 03 21:01:58 +0000 2018,0.715,0.0,0.285,@TheEllenShow,@Bethenny @ellen @nbc Thanks for watching! And tweeting. ??
14,0.0,Wed Jan 03 20:51:14 +0000 2018,1.0,0.0,0.0,@TheEllenShow,#TheFour cast was here today. All five of them. @Diddy @Meghan_Trainor @Fergie @DJKhaled @CharlieWalk https://t.co/padWwFbaSo
15,0.3182,Wed Jan 03 20:10:46 +0000 2018,0.8,0.071,0.129,@TheEllenShow,Did you miss this on #GameofGames last night? You better set your DVR for next Tuesday 8/7c on @NBC.… https://t.co/6m5fWfSvec
16,0.3612,Wed Jan 03 19:11:26 +0000 2018,0.839,0.0,0.161,@TheEllenShow,".@SethMeyers needs to be ready for anything at the #GoldenGlobes, and I mean anything. https://t.co/iYojAk24i3"
17,0.743,Wed Jan 03 18:20:04 +0000 2018,0.567,0.089,0.344,@TheEllenShow,Here’s just some of the heroes who battled the California wildfires. Thank you for all your help. https://t.co/FabuRtJrP8
18,0.2695,Wed Jan 03 03:59:23 +0000 2018,0.906,0.0,0.094,@TheEllenShow,"It’s your turn, West Coast! Hold on tight, you’re about to get launched into 2 hours of #GameofGames on @NBC. Right… NOW!"
19,0.8951,Wed Jan 03 02:59:51 +0000 2018,0.576,0.0,0.424,@TheEllenShow,"That was more fun than a barrel of purple principals. Congrats, Leah! Thanks for watching, everybody! If you want m… https://t.co/riW99WRom5"
20,0.0,Wed Jan 03 02:49:24 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"Hold on to your hat, Joe. #GameofGames #KnowOrGo"
21,0.0,Wed Jan 03 02:41:14 +0000 2018,1.0,0.0,0.0,@TheEllenShow,My apologies to Britney Spears’ principal. #DoTheseMakeMyButtLookBig #SayWhat #GameofGames
22,0.7311,Wed Jan 03 02:32:05 +0000 2018,0.765,0.0,0.235,@TheEllenShow,"Well, she thought Oregon ended in “A,” but she’s heading up to Know or Go. The fast way. Congrats, Lacie. #GameofGames #DontLeaveMeHanging"
23,-0.0516,Wed Jan 03 02:28:17 +0000 2018,0.943,0.057,0.0,@TheEllenShow,"If we could install “Don’t Leave Me Hanging” in schools, kids we be a whole lot gooder at learning things. #GameofGames #DontLeaveMeHanging"
24,0.0,Wed Jan 03 02:16:46 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"Stay tuned for my new spinoff of #BlindfoldedMusicalChairs, “Game of Games: Magic John."" #GameofGames"
25,0.3612,Wed Jan 03 02:10:27 +0000 2018,0.872,0.0,0.128,@TheEllenShow,"I wanna thank @HowieMandel, Julia Roberts, Johnny Depp, @OfficialJLD, and Will Ferrell for being a part of my #GameofGames. #DangerWord"
26,0.5879,Wed Jan 03 02:09:37 +0000 2018,0.696,0.0,0.304,@TheEllenShow,"For everyone wondering, that was definitely chocolate. I’m almost entirely certain. #GameofGames #DangerWord"
27,0.5093,Wed Jan 03 02:06:21 +0000 2018,0.785,0.0,0.215,@TheEllenShow,"Honestly, they both deserve to be blasted for that one. Baseball?!  #GameofGames #DangerWord"
28,0.7424,Wed Jan 03 02:03:24 +0000 2018,0.778,0.0,0.222,@TheEllenShow,"These mono mono twins are about to go mano a mano! Well, technically they’re on the same team, but it was fun to sa… https://t.co/06IFLwsHVw"
29,0.0,Wed Jan 03 02:00:14 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"Katrina was incredible at #HotHands! She was also covered in meringue, so a handshake will have to do. She just won… https://t.co/4nTIufyG5F"
30,0.508,Wed Jan 03 01:58:56 +0000 2018,0.831,0.0,0.169,@TheEllenShow,"It’s time for #HotHands! You can watch Katrina play it, and then challenge her score in my Hot Hands app! That’s wh… https://t.co/qfRb7NjChc"
31,0.4215,Wed Jan 03 01:53:13 +0000 2018,0.859,0.0,0.141,@TheEllenShow,True story: there were multiple peacocks waiting for Stefani outside of the studio after the taping. #GameofGames #KnowOrGo
32,0.4588,Wed Jan 03 01:46:22 +0000 2018,0.857,0.0,0.143,@TheEllenShow,This is the biggest Know or Go that we’ve ever had. That’s why it’s my favorite game. #GameofGames #KnowOrGo
33,0.4588,Wed Jan 03 01:39:51 +0000 2018,0.8,0.0,0.2,@TheEllenShow,I honestly didn’t know there was that much master in the blaster. #GameofGames #MasterBlaster
34,0.0,Wed Jan 03 01:28:52 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"“Waiter, there’s a wife in my pie.” #GameofGames #YouBetYourWife"
35,0.2263,Wed Jan 03 01:26:10 +0000 2018,0.788,0.087,0.124,@TheEllenShow,Someone’s about to drop their wife into a giant pie. That’s why You Bet Your Wife is my favorite game. #GameofGames #YouBetYourWife
36,-0.1779,Wed Jan 03 01:15:33 +0000 2018,0.596,0.225,0.179,@TheEllenShow,Devon was definitely in the zone. The danger zone. #GameofGames #BlindfoldedMusicalChairs
37,0.128,Wed Jan 03 01:13:47 +0000 2018,0.791,0.095,0.115,@TheEllenShow,Nothing means more to me than hearing I’ve changed people’s lives for the better. And then making them look crazy o… https://t.co/JI0Sypub0n
38,0.4588,Wed Jan 03 01:12:58 +0000 2018,0.857,0.0,0.143,@TheEllenShow,Blindfolded Musical Chairs combines two of my favorite things – dancing and hydraulic stools. That’s why it's my fa… https://t.co/gIOqdFk1At
39,0.6696,Wed Jan 03 01:04:28 +0000 2018,0.609,0.0,0.391,@TheEllenShow,I love One-Eyed Monster! You heard me. #GameofGames #OneEyedMonster
40,0.4344,Wed Jan 03 01:00:19 +0000 2018,0.723,0.165,0.112,@TheEllenShow,"East Coast, turn on your TV! Grab your friends! Make a snack! Hide yo kids! Hide yo wife! (Maybe not those last two.) #GameofGames"
41,0.4199,Wed Jan 03 00:57:12 +0000 2018,0.823,0.0,0.177,@TheEllenShow,"Are you ready for #GameofGames? Grab the remote, it’s almost time! @NBC @andylassner https://t.co/NV5gr0ebJh"
42,0.0,Wed Jan 03 00:42:06 +0000 2018,1.0,0.0,0.0,@TheEllenShow,"Tonight’s a two-fer! Tune in to NBC at 8/7c for #GameofGames, and stay there for ANOTHER episode of #GameofGames ri… https://t.co/iNUirES13K"
43,-0.3561,Wed Jan 03 00:14:44 +0000 2018,0.84,0.16,0.0,@TheEllenShow,Tonight’s the night! Two hours of #GameofGames! Don’t miss it 8/7c on @NBC! https://t.co/BXCblsiliR
44,0.8478,Tue Jan 02 23:59:45 +0000 2018,0.494,0.0,0.506,@TheEllenShow,"Happy birthday, @DaxShepard1! I love it every time you’re here. https://t.co/iRSzw22uxo"
45,0.6114,Tue Jan 02 23:45:17 +0000 2018,0.429,0.0,0.571,@TheEllenShow,Happy birth-taye! @TayeDiggs https://t.co/C37XpOfvPl
46,0.0,Tue Jan 02 23:26:09 +0000 2018,1.0,0.0,0.0,@TheEllenShow,Dancing into 2018 like… https://t.co/OlXvH2lGBD
47,0.6369,Tue Jan 02 21:52:50 +0000 2018,0.543,0.0,0.457,@TheEllenShow,I love when @Ricky_Martin is here. https://t.co/GPZ22DHYKT
48,0.8555,Tue Jan 02 21:29:58 +0000 2018,0.625,0.0,0.375,@TheEllenShow,.@TheKalenAllen may just be the best thing on the internet right now. I love him. https://t.co/tUsI7bcB9P https://t.co/6KmxaIHJhB
49,0.0,Tue Jan 02 20:58:36 +0000 2018,1.0,0.0,0.0,@TheEllenShow,It’s a twofer Tuesday! Two hours of my #GameofGames starting at 8/7c on @NBC. https://t.co/DIoXfxt14n https://t.co/3f5xZzTew3
50,0.6369,Tue Jan 02 20:23:04 +0000 2018,0.417,0.0,0.583,@TheEllenShow,I love this story. https://t.co/DosAtfiOYA
51,0.0,Tue Jan 02 19:35:46 +0000 2018,1.0,0.0,0.0,@TheEllenShow,My show #GameofGames premieres TONIGHT on @NBC 8/7c. Find yourself a seat. https://t.co/SmGfyhd5GB
52,0.8585,Tue Jan 02 19:10:17 +0000 2018,0.623,0.0,0.377,@TheEllenShow,"Hoda phone! The @TODAYshow has a new co-host. So happy for you, @HodaKotb. Sending lots of love."
53,0.0,Mon Jan 01 20:23:59 +0000 2018,1.0,0.0,0.0,@TheEllenShow,Tomorrow night is the premiere of #GameofGames! https://t.co/oayvfGgbjN
54,0.8459,Mon Jan 01 16:37:40 +0000 2018,0.636,0.0,0.364,@TheEllenShow,"Happy 2018! I normally don't make resolutions, but how’s this? Let’s all tell the truth, treat everyone equally, be… https://t.co/Kc3sMibnR2"
55,0.8652,Mon Jan 01 03:59:38 +0000 2018,0.674,0.0,0.326,@TheEllenShow,Happy New Year! What a thrill to ring in a bright new year for the world! (Will someone retweet this at midnight? It’s sleep time.)
56,0.0,Sun Dec 31 18:05:14 +0000 2017,1.0,0.0,0.0,@TheEllenShow,2 days left! #GameofGames https://t.co/4LBqRjuNln
57,0.0,Sat Dec 30 21:50:22 +0000 2017,1.0,0.0,0.0,@TheEllenShow,3 more days. #GameofGames https://t.co/rPuFPoRqdE
58,0.0,Sat Dec 30 17:35:56 +0000 2017,1.0,0.0,0.0,@TheEllenShow,This Tuesday is going to rock your world. #GameofGames https://t.co/2bLWu0rOUb
59,0.7574,Sat Dec 30 16:35:33 +0000 2017,0.629,0.0,0.371,@TheEllenShow,"Happy birthday, @AndyLassner! You make me smile every day. Sometimes on purpose. https://t.co/4jNaEoIh4N"
60,0.3612,Sat Dec 30 00:35:19 +0000 2017,0.615,0.0,0.385,@TheEllenShow,Who’s ready for 2018? https://t.co/tDuTPB7ndQ
61,0.0,Fri Dec 29 20:27:15 +0000 2017,1.0,0.0,0.0,@TheEllenShow,"Here’s lookin’ at you, 2017. https://t.co/j7EAhMaIwc"
62,0.4019,Fri Dec 29 18:59:07 +0000 2017,0.899,0.0,0.101,@TheEllenShow,"RT @BarackObama: All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and all of us…"
63,-0.5423,Fri Dec 29 18:58:20 +0000 2017,0.885,0.115,0.0,@TheEllenShow,"RT @BarackObama: As we count down to the new year, we get to reflect and prepare for what’s ahead. For all the bad news that seemed to domi…"
64,-0.2263,Thu Dec 28 21:04:36 +0000 2017,0.826,0.174,0.0,@TheEllenShow,"This is one year we won’t soon forget. ??

https://t.co/mrRAC2aZKD"
65,0.6908,Thu Dec 28 18:36:44 +0000 2017,0.584,0.0,0.416,@TheEllenShow,Looks like it was my turn to save a hummingbird. https://t.co/O5NfeIHYWr
66,0.6369,Wed Dec 27 20:06:14 +0000 2017,0.704,0.0,0.296,@TheEllenShow,"I love having animals in our family. #OneMillionActsOfGood 

Artwork by: @RachelRyle https://t.co/PrNh2Uu95J"
67,0.4939,Wed Dec 27 19:06:15 +0000 2017,0.652,0.0,0.348,@TheEllenShow,Doughnut tell me this isn’t adorable. https://t.co/7fKEshfpFo
68,0.6239,Tue Dec 26 22:04:00 +0000 2017,0.707,0.071,0.223,@TheEllenShow,"Happy #BoxingDay! Speaking of boxes, don’t forget to turn the box to @NBC tonight for your second chance to watch a… https://t.co/jrbqiaVWGq"
69,0.5859,Tue Dec 26 20:43:51 +0000 2017,0.84,0.0,0.16,@TheEllenShow,Didn’t get what you wanted for Christmas? Watch my show and you can win everything from the #12Days of Giveaways. https://t.co/2qlFC8LVyU
70,0.8519,Tue Dec 26 18:41:40 +0000 2017,0.646,0.0,0.354,@TheEllenShow,"Reuben de Maid is amazing at makeup. Please enjoy the next episode of what I’m calling, Reuben de Makeup. https://t.co/TkL4KJuQIB"
71,0.9246,Tue Dec 26 17:13:05 +0000 2017,0.492,0.0,0.508,@TheEllenShow,"Happy birthday to two of my favorite people, @BethBehrs and @JaredLeto. I love you like a brother. And a sister."
72,0.8955,Mon Dec 25 19:57:43 +0000 2017,0.357,0.0,0.643,@TheEllenShow,Merry Christmas. Here’s a great last minute gift idea! https://t.co/DuxFMgcasa
73,0.821,Mon Dec 25 19:13:30 +0000 2017,0.735,0.0,0.265,@TheEllenShow,"The Bellas are on my show today! #PitchPerfect3 is so much fun, have you seen it yet? They’re the perfect people to… https://t.co/XS6w4vGM8m"
74,0.9136,Mon Dec 25 17:05:05 +0000 2017,0.485,0.0,0.515,@TheEllenShow,"Whatever you celebrate, I’m sending joy, love and light to you and your family."
75,0.5848,Sun Dec 24 22:19:34 +0000 2017,0.613,0.0,0.387,@TheEllenShow,Merry Christmas from everyone at #GameofGames! https://t.co/nW7FpiM7GA
76,0.5411,Sun Dec 24 19:59:26 +0000 2017,0.845,0.0,0.155,@TheEllenShow,"70,000 yards! That’s how far my friend @DrewBrees has passed. It’s also how much ribbon I bought for wrapping prese… https://t.co/qBNZuahTZk"
77,0.3612,Sun Dec 24 18:58:06 +0000 2017,0.762,0.0,0.238,@TheEllenShow,Draw me like one of your French girls. https://t.co/PRZpnHuhNJ
78,0.8074,Sun Dec 24 16:53:06 +0000 2017,0.622,0.0,0.378,@TheEllenShow,"Happy birthday, @RyanSeacrest, @Ricky_Martin and @Louis_Tomlinson. I didn’t realize the handsomest person I know wa… https://t.co/ZjxmLUSqBd"
79,0.0,Sat Dec 23 21:18:40 +0000 2017,1.0,0.0,0.0,@TheEllenShow,Christmas! Behold! https://t.co/fJd7Cwy5s0
80,0.25,Sat Dec 23 19:35:16 +0000 2017,0.724,0.105,0.171,@TheEllenShow,The holidays are a time for family and togetherness and hilariously awkward photos. https://t.co/rrCh1rplhx
81,0.6239,Fri Dec 22 19:51:31 +0000 2017,0.823,0.0,0.177,@TheEllenShow,"If you see Vixen in my show today, you could win all the gifts from my #12Days of Giveaways! https://t.co/XY8S1pKsNB"
82,0.0,Fri Dec 22 17:24:51 +0000 2017,1.0,0.0,0.0,@TheEllenShow,Santa baby. https://t.co/ADyz7PLFvg
83,0.4588,Thu Dec 21 20:46:18 +0000 2017,0.7,0.0,0.3,@TheEllenShow,Two of my favorite dancers. #EllenShowMeMore @official_tWitch https://t.co/HGGPGDlq2r
84,0.4404,Thu Dec 21 19:39:38 +0000 2017,0.734,0.0,0.266,@TheEllenShow,Nothing feels better than seeing a military reunion. #EllenShowMeMore  https://t.co/6lcEsgmgb0
85,0.765,Thu Dec 21 18:45:41 +0000 2017,0.663,0.0,0.337,@TheEllenShow,"Happy birthday, @SamuelLJackson. I hope you got those m***er f***ing snakes off that m***er f***ing plane."
86,0.0,Thu Dec 21 16:06:09 +0000 2017,1.0,0.0,0.0,@TheEllenShow,It’s the first day of Winter! Game of Thrones fans were right. Winter really was coming. #WinterSolstice
87,0.0,Wed Dec 20 20:58:45 +0000 2017,1.0,0.0,0.0,@TheEllenShow,I can’t tell if those are front paws or tassels. https://t.co/hDvjOf4B8c
88,0.7717,Wed Dec 20 20:06:38 +0000 2017,0.758,0.0,0.242,@TheEllenShow,Watch my show this week and you could win every single gift from my #12Days of Giveaways. And don’t say I didn’t wa… https://t.co/BW13kuTNaC
89,0.7003,Wed Dec 20 17:45:15 +0000 2017,0.734,0.0,0.266,@TheEllenShow,I still think about this baby. I hope he thinks about me. ‘Tis the season for doing good. #OneMillionActsOfGood… https://t.co/on4PGaXrXu
90,0.7902,Wed Dec 20 16:41:58 +0000 2017,0.731,0.0,0.269,@TheEllenShow,"Happy birthday, @MaryConnelly. I’m very glad you were born and became my Executive Producer, and show up at work ev… https://t.co/uk69jXYEwW"
91,0.0,Tue Dec 19 21:04:50 +0000 2017,1.0,0.0,0.0,@TheEllenShow,Watch what happens when @Andy answers my burning questions. #EllenShowMeMore https://t.co/x7owR9WsR1
92,0.8531,Tue Dec 19 20:05:44 +0000 2017,0.692,0.0,0.308,@TheEllenShow,"Dayo was so good at Hot Hands last night, he went home with $100K. Barely! Could you have done better? Play the gam… https://t.co/O6j6xCgW7e"
93,0.5848,Tue Dec 19 19:45:37 +0000 2017,0.513,0.0,0.487,@TheEllenShow,"Merry Christmas, @JustinBieber! #EllenShowMeMore https://t.co/yot75xWWPO"
94,0.4215,Tue Dec 19 18:02:26 +0000 2017,0.682,0.108,0.21,@TheEllenShow,"Happy birthday, Jake Gyllenhaal. Don’t forget to deck the Gyllenhaals with boughs of holly."
95,0.69,Tue Dec 19 05:55:05 +0000 2017,0.711,0.0,0.289,@TheEllenShow,"I hope you’re ready, West Coast. #GameofGames starts in 5 minutes! We can’t wait to watch it again."
96,0.34,Tue Dec 19 03:58:50 +0000 2017,0.87,0.0,0.13,@TheEllenShow,"That’s how you play #GameofGames. My apologies to Katherine Hepburn, Duran Duran, and Tom Selleck. Congratulations… https://t.co/morWh28pzs"
97,0.4019,Tue Dec 19 03:49:51 +0000 2017,0.687,0.099,0.215,@TheEllenShow,I don’t know why I like dropping people through trap doors so much. I have many layers. I’m like a bean dip. #GameofGames
98,0.5106,Tue Dec 19 03:40:16 +0000 2017,0.719,0.0,0.281,@TheEllenShow,I think we can all agree playing this game takes a lot of balls. #GameofGames
99,0.5106,Tue Dec 19 03:37:28 +0000 2017,0.732,0.0,0.268,@TheEllenShow,Fun Fact: that’s actually my ball blaster from home. #GameofGames
